,Timestamp,Pressure (psi),Temperature (°C),Oil Flow (L/min),Vibration (mm/s),Power Status,Oil Level (%),Tool RPM (rpm),Machine Status,Current (A)
33,17-09-2023 00:16,49,30.4,3,0.027,ON,68.5,1856,Running,12.9
34,17-09-2023 00:17,45.8,31.5,2.1,0.018,ON,71.3,1559,Running,12
35,17-09-2023 00:17,48.8,30.5,3.1,0.028,ON,68.3,1859,Running,13
36,17-09-2023 00:18,46.1,31.6,2.2,0.019,ON,71.2,1562,Running,12.1
37,17-09-2023 00:18,49.1,30.6,3.2,0.029,ON,68.2,1862,Running,13.1
38,17-09-2023 00:19,45.9,31.7,2.3,0.02,ON,71.1,1565,Running,12.2
39,17-09-2023 00:19,48.9,30.7,3.3,0.03,ON,68.1,1865,Running,13.2
40,17-09-2023 00:20,46.2,31.8,2.4,0.021,ON,71,1568,Running,12.3
41,17-09-2023 00:20,49.2,30.8,3.4,0.031,ON,68,1868,Running,13.3
42,17-09-2023 00:21,46,31.9,2.5,0.022,ON,70.8,1571,Running,12.4
43,17-09-2023 00:21,49,30.9,3.5,0.032,ON,67.8,1871,Running,13.4
44,17-09-2023 00:22,46.3,32,2.6,0.023,ON,70.7,1574,Running,12.5
45,17-09-2023 00:22,49.3,31,3.6,0.033,ON,67.7,1874,Running,13.5
46,17-09-2023 00:23,46.1,32.1,2.7,0.024,ON,70.6,1577,Running,12.6
47,17-09-2023 00:23,49.1,31.1,3.7,0.034,ON,67.6,1877,Running,13.6
48,17-09-2023 00:24,46.4,32.2,2.8,0.025,ON,70.5,1580,Running,12.7
49,17-09-2023 00:24,49.4,31.2,3.8,0.035,ON,67.5,1880,Running,13.7
50,17-09-2023 00:25,46.2,32.3,2.9,0.026,ON,70.3,1583,Running,12.8
51,17-09-2023 00:25,49.2,31.3,3.9,0.036,ON,67.3,1883,Running,13.8
52,17-09-2023 00:26,46.5,32.4,3,0.027,ON,70.2,1586,Running,12.9
53,17-09-2023 00:26,49.5,31.4,4,0.037,ON,67.2,1886,Running,13.9
54,17-09-2023 00:27,46.3,32.5,3.1,0.028,ON,70.1,1589,Running,13
55,17-09-2023 00:27,49.3,31.5,4.1,0.038,ON,67.1,1889,Running,14
56,17-09-2023 00:28,46.6,32.6,3,0.027,ON,70,1592,Running,13.1
57,17-09-2023 00:28,49.6,31.6,4,0.037,ON,67,1892,Running,14.1
58,17-09-2023 00:29,46.4,32.7,2.9,0.026,ON,69.9,1595,Running,13.2
59,17-09-2023 00:29,49.4,31.7,3.9,0.036,ON,66.9,1895,Running,14.2
60,17-09-2023 00:30,46.7,32.8,2.8,0.025,ON,69.8,1598,Running,13.3
61,17-09-2023 00:30,49.7,31.8,3.8,0.035,ON,66.8,1898,Running,14.3
62,17-09-2023 00:31,46.5,32.9,2.7,0.024,ON,69.7,1601,Running,13.4
63,17-09-2023 00:31,49.5,31.9,3.7,0.034,ON,66.7,1901,Running,14.4
64,17-09-2023 00:32,46.8,33,2.6,0.023,ON,69.6,1604,Running,13.5
65,17-09-2023 00:32,49.8,32,3.6,0.033,ON,66.6,1904,Running,14.5
66,17-09-2023 00:33,46.6,33.1,2.5,0.022,ON,69.5,1607,Running,13.6
67,17-09-2023 00:33,49.6,32.1,3.5,0.032,ON,66.5,1907,Running,14.6
68,17-09-2023 00:34,46.9,33.2,2.4,0.021,ON,69.4,1610,Running,13.7
69,17-09-2023 00:34,49.9,32.2,3.4,0.031,ON,66.4,1910,Running,14.7
70,17-09-2023 00:35,46.7,33.3,2.3,0.02,ON,69.3,1613,Running,13.8
71,17-09-2023 00:35,49.7,32.3,3.3,0.03,ON,66.3,1913,Running,14.8
72,17-09-2023 00:36,47,33.4,2.2,0.019,ON,69.2,1616,Running,13.9
73,17-09-2023 00:36,50,32.4,3.2,0.029,ON,66.2,1916,Running,14.9
74,17-09-2023 00:37,46.8,33.5,2.1,0.018,ON,69.1,1619,Running,14
75,17-09-2023 00:37,49.8,32.5,3.3,0.03,ON,66.1,1919,Running,15
76,17-09-2023 00:38,47.1,33.6,2,0.017,ON,69,1622,Running,14.1
77,17-09-2023 00:38,50.1,32.6,3.4,0.031,ON,66,1922,Running,15.1
78,17-09-2023 00:39,46.9,33.7,2.1,0.018,ON,68.9,1625,Running,14.2
79,17-09-2023 00:39,49.9,32.7,3.5,0.032,ON,65.9,1925,Running,15.2
80,17-09-2023 00:40,47.2,33.8,2.2,0.019,ON,68.8,1628,Running,14.3
81,17-09-2023 00:40,50.2,32.8,3.6,0.033,ON,65.8,1928,Running,15.3
82,17-09-2023 00:41,47,33.9,2.3,0.02,ON,68.7,1631,Running,14.4
83,17-09-2023 00:41,50,32.9,3.7,0.034,ON,65.7,1931,Running,15.4
84,17-09-2023 00:42,47.3,34,2.4,0.021,ON,68.6,1634,Running,14.5
85,17-09-2023 00:42,50.3,33,3.8,0.035,ON,65.6,1934,Running,15.5
86,17-09-2023 00:43,47.1,34.1,2.5,0.022,ON,68.5,1637,Running,14.6
87,17-09-2023 00:43,50.1,33.1,3.9,0.036,ON,65.5,1937,Running,15.6
88,17-09-2023 00:44,47.4,34.2,2.6,0.023,ON,68.4,1640,Running,14.7
89,17-09-2023 00:44,50.4,33.2,4,0.037,ON,65.4,1940,Running,15.7
90,17-09-2023 00:45,47.2,34.3,2.7,0.024,ON,68.3,1643,Running,14.8
91,17-09-2023 00:45,50.2,33.3,4.1,0.038,ON,65.3,1943,Running,15.8
92,17-09-2023 00:46,47.5,34.4,2.8,0.025,ON,68.2,1646,Running,14.9
93,17-09-2023 00:46,50.5,33.4,4,0.037,ON,65.2,1946,Running,15.9
94,17-09-2023 00:47,47.3,34.5,2.9,0.026,ON,68.1,1649,Running,15
95,17-09-2023 00:47,50.3,33.5,3.9,0.036,ON,65.1,1949,Running,16
96,17-09-2023 00:48,47.6,34.6,3,0.027,ON,68,1652,Running,15.1
97,17-09-2023 00:48,50.6,33.6,3.8,0.035,ON,65,1952,Running,16.1
98,17-09-2023 00:49,50.4,33.7,3.7,0.034,ON,64.9,1955,Running,16.2
99,17-09-2023 00:50,50.7,33.8,3.6,0.033,ON,64.8,1958,Running,16.3
100,17-09-2023 00:51,50.5,33.9,3.5,0.032,ON,64.7,1961,Running,16.4
101,17-09-2023 00:52,50.8,34,3.4,0.031,ON,64.6,1964,Running,16.5
102,17-09-2023 00:53,50.6,34.1,3.3,0.03,ON,64.5,1967,Running,16.6
103,17-09-2023 00:54,50.9,34.2,3.2,0.029,ON,64.4,1970,Running,16.7
104,17-09-2023 00:55,50.7,34.3,3.1,0.028,ON,64.3,1973,Running,16.8
105,17-09-2023 00:56,51,34.4,3,0.027,ON,64.2,1976,Running,16.9
106,17-09-2023 00:57,50.8,34.5,3.1,0.028,ON,64.1,1979,Running,17
107,17-09-2023 00:58,46.6,34.2,3,0.03,ON,67.5,1678,Running,15.2
108,17-09-2023 00:58,51.1,34.6,3.2,0.029,ON,64,1982,Running,17.1
109,17-09-2023 00:59,50.9,34.7,3.3,0.03,ON,63.9,1985,Running,17.2
110,17-09-2023 01:00,47.6,34.7,3.1,0.028,ON,67.9,1655,Running,15.2
111,17-09-2023 01:01,47.5,34.8,3,0.027,ON,67.8,1658,Running,15.3
112,17-09-2023 01:02,47.4,34.9,2.9,0.026,ON,67.7,1661,Running,15.4
113,17-09-2023 01:03,47.3,35,2.8,0.025,ON,67.6,1664,Running,15.5
114,17-09-2023 01:04,47.2,35.1,2.7,0.024,ON,67.5,1667,Running,15.6
115,17-09-2023 01:05,47.1,35.2,2.6,0.023,ON,67.4,1670,Running,15.7
116,17-09-2023 01:05,50.5,34.8,3.4,0.031,ON,63.7,1988,Running,17.3
117,17-09-2023 01:06,47,35.3,2.5,0.022,ON,67.3,1673,Running,15.8
118,17-09-2023 01:07,46.9,35.4,2.4,0.021,ON,67.2,1676,Running,15.9
119,17-09-2023 01:08,47.1,34.5,3.3,0.032,ON,67.2,1684,Running,15.4
120,17-09-2023 01:08,46.8,35.5,2.3,0.02,ON,67.1,1679,Running,16
121,17-09-2023 01:09,46.7,35.6,2.2,0.019,ON,67,1682,Running,16.1
122,17-09-2023 01:09,45.2,29.8,2.4,0.021,ON,73.5,1505,Running,10.3
123,17-09-2023 01:10,46.6,35.7,2.1,0.018,ON,66.9,1685,Running,16.2
124,17-09-2023 01:10,45.1,29.9,2.5,0.022,ON,73.3,1508,Running,10.4
125,17-09-2023 01:11,46.5,35.8,2,0.017,ON,66.8,1688,Running,16.3
126,17-09-2023 01:11,45.3,30,2.6,0.023,ON,73.2,1512,Running,10.5
127,17-09-2023 01:12,46.4,35.9,2.1,0.018,ON,66.7,1691,Running,16.4
128,17-09-2023 01:12,45,30.1,2.7,0.024,ON,73.1,1515,Running,10.6
129,17-09-2023 01:12,50.8,34.9,3.5,0.032,ON,63.6,1991,Running,17.4
130,17-09-2023 01:13,46.3,36,2.2,0.019,ON,66.6,1694,Running,16.5
131,17-09-2023 01:13,45.4,30.2,2.8,0.025,ON,73,1518,Running,10.7
132,17-09-2023 01:14,46.2,36.1,2.3,0.02,ON,66.5,1697,Running,16.6
133,17-09-2023 01:14,45.2,30.3,2.9,0.026,ON,72.8,1521,Running,10.8
134,17-09-2023 01:15,46.1,36.2,2.4,0.021,ON,66.4,1700,Running,16.7
135,17-09-2023 01:15,45.5,30.4,3,0.027,ON,72.7,1525,Running,10.9
136,17-09-2023 01:16,46,36.3,2.5,0.022,ON,66.3,1703,Running,16.8
137,17-09-2023 01:16,45.3,30.5,2.9,0.026,ON,72.6,1528,Running,11
138,17-09-2023 01:17,45.9,36.4,2.6,0.023,ON,66.2,1706,Running,16.9
139,17-09-2023 01:17,45.6,30.6,2.8,0.025,ON,72.5,1531,Running,11.1
140,17-09-2023 01:18,46.9,34.3,3.1,0.031,ON,67.3,1681,Running,15.3
141,17-09-2023 01:18,45.8,36.5,2.7,0.024,ON,66.1,1709,Running,17
142,17-09-2023 01:18,45.4,30.7,2.7,0.024,ON,72.3,1534,Running,11.2
143,17-09-2023 01:19,45.7,36.6,2.8,0.025,ON,66,1712,Running,17.1
144,17-09-2023 01:19,45.7,30.8,2.6,0.023,ON,72.2,1538,Running,11.3
145,17-09-2023 01:20,45.6,36.7,2.9,0.026,ON,65.9,1715,Running,17.2
146,17-09-2023 01:20,45.5,30.9,2.5,0.022,ON,72.1,1541,Running,11.4
147,17-09-2023 01:21,45.5,36.8,3,0.027,ON,65.8,1718,Running,17.3
148,17-09-2023 01:21,45.8,31,2.4,0.021,ON,72,1544,Running,11.5
149,17-09-2023 01:21,50.6,35,3.6,0.033,ON,63.5,1994,Running,17.5
150,17-09-2023 01:22,45.4,36.9,3.1,0.028,ON,65.7,1721,Running,17.4
151,17-09-2023 01:22,45.6,31.1,2.3,0.02,ON,71.8,1547,Running,11.6
152,17-09-2023 01:23,45.3,37,3,0.027,ON,65.6,1724,Running,17.5
153,17-09-2023 01:23,45.9,31.2,2.2,0.019,ON,71.7,1550,Running,11.7
154,17-09-2023 01:24,45.2,37.1,2.9,0.026,ON,65.5,1727,Running,17.6
155,17-09-2023 01:24,45.7,31.3,2.1,0.018,ON,71.6,1553,Running,11.8
156,17-09-2023 01:25,45.1,37.2,2.8,0.025,ON,65.4,1730,Running,17.7
157,17-09-2023 01:25,46,31.4,2,0.017,ON,71.5,1556,Running,11.9
158,17-09-2023 01:26,45,37.3,2.7,0.024,ON,65.3,1733,Running,17.8
159,17-09-2023 01:26,45.8,31.5,2.1,0.018,ON,71.3,1559,Running,12
160,17-09-2023 01:27,44.9,37.4,2.6,0.023,ON,65.2,1736,Running,17.9
161,17-09-2023 01:27,46.1,31.6,2.2,0.019,ON,71.2,1562,Running,12.1
162,17-09-2023 01:27,50.9,35.1,3.7,0.034,ON,63.4,1997,Running,17.6
163,17-09-2023 01:28,47.2,34.6,3.4,0.033,ON,67,1687,Running,15.5
164,17-09-2023 01:28,44.8,37.5,2.5,0.022,ON,65.1,1739,Running,18
165,17-09-2023 01:28,45.9,31.7,2.3,0.02,ON,71.1,1565,Running,12.2
166,17-09-2023 01:29,44.7,37.6,2.4,0.021,ON,65,1742,Running,18.1
167,17-09-2023 01:29,46.2,31.8,2.4,0.021,ON,71,1568,Running,12.3
168,17-09-2023 01:30,44.6,37.7,2.3,0.02,ON,64.9,1745,Running,18.2
169,17-09-2023 01:30,46,31.9,2.5,0.022,ON,70.8,1571,Running,12.4
170,17-09-2023 01:31,46.3,32,2.6,0.023,ON,70.7,1574,Running,12.5
171,17-09-2023 01:32,46.1,32.1,2.7,0.024,ON,70.6,1577,Running,12.6
172,17-09-2023 01:33,46.4,32.2,2.8,0.025,ON,70.5,1580,Running,12.7
173,17-09-2023 01:34,46.2,32.3,2.9,0.026,ON,70.3,1583,Running,12.8
174,17-09-2023 01:34,50.7,35.2,3.8,0.035,ON,63.3,2000,Running,17.7
175,17-09-2023 01:35,46.5,32.4,3,0.027,ON,70.2,1586,Running,12.9
176,17-09-2023 01:36,46.3,32.5,3.1,0.028,ON,70.1,1589,Running,13
177,17-09-2023 01:37,46.6,32.6,3,0.027,ON,70,1592,Running,13.1
178,17-09-2023 01:38,47,34.4,3.2,0.032,ON,67.1,1684,Running,15.4
179,17-09-2023 01:38,46.4,32.7,2.9,0.026,ON,69.9,1595,Running,13.2
180,17-09-2023 01:39,46.7,32.8,2.8,0.025,ON,69.8,1598,Running,13.3
181,17-09-2023 01:40,46.5,32.9,2.7,0.024,ON,69.7,1601,Running,13.4
182,17-09-2023 01:41,46.8,33,2.6,0.023,ON,69.6,1604,Running,13.5
183,17-09-2023 01:42,46.6,33.1,2.5,0.022,ON,69.5,1607,Running,13.6
184,17-09-2023 01:43,46.9,33.2,2.4,0.021,ON,69.4,1610,Running,13.7
185,17-09-2023 01:43,51,35.3,3.9,0.036,ON,63.2,2003,Running,17.8
186,17-09-2023 01:44,46.7,33.3,2.3,0.02,ON,69.3,1613,Running,13.8
187,17-09-2023 01:45,47,33.4,2.2,0.019,ON,69.2,1616,Running,13.9
188,17-09-2023 01:46,46.8,33.5,2.1,0.018,ON,69.1,1619,Running,14
189,17-09-2023 01:47,47.1,33.6,2,0.017,ON,69,1622,Running,14.1
190,17-09-2023 01:48,47.3,34.7,3.5,0.034,ON,66.8,1690,Running,15.6
191,17-09-2023 01:48,46.9,33.7,2.1,0.018,ON,68.9,1625,Running,14.2
192,17-09-2023 01:49,47.2,33.8,2.2,0.019,ON,68.8,1628,Running,14.3
193,17-09-2023 01:50,47,33.9,2.3,0.02,ON,68.7,1631,Running,14.4
194,17-09-2023 01:51,47.3,34,2.4,0.021,ON,68.6,1634,Running,14.5
195,17-09-2023 01:51,50.8,35.4,4,0.037,ON,63.1,2006,Running,17.9
196,17-09-2023 01:52,47.1,34.1,2.5,0.022,ON,68.5,1637,Running,14.6
197,17-09-2023 01:53,47.4,34.2,2.6,0.023,ON,68.4,1640,Running,14.7
198,17-09-2023 01:54,47.2,34.3,2.7,0.024,ON,68.3,1643,Running,14.8
199,17-09-2023 01:55,47.5,34.4,2.8,0.025,ON,68.2,1646,Running,14.9
200,17-09-2023 01:56,47.3,34.5,2.9,0.026,ON,68.1,1649,Running,15
201,17-09-2023 01:57,47.6,34.6,3,0.027,ON,68,1652,Running,15.1
202,17-09-2023 01:58,47.1,34.5,3.3,0.033,ON,66.9,1687,Running,15.5
203,17-09-2023 02:00,44.8,37.8,2.2,0.019,ON,64.8,1748,Running,18.3
204,17-09-2023 02:00,51.1,35.5,4.1,0.038,ON,63,2009,Running,18
205,17-09-2023 02:01,44.7,37.9,2.3,0.02,ON,64.7,1751,Running,18.4
206,17-09-2023 02:02,44.6,38,2.4,0.021,ON,64.6,1754,Running,18.5
207,17-09-2023 02:03,44.5,38.1,2.5,0.022,ON,64.5,1757,Running,18.6
208,17-09-2023 02:04,44.4,38.2,2.6,0.023,ON,64.4,1760,Running,18.7
209,17-09-2023 02:05,44.3,38.3,2.7,0.024,ON,64.3,1763,Running,18.8
210,17-09-2023 02:06,44.2,38.4,2.8,0.025,ON,64.2,1766,Running,18.9
211,17-09-2023 02:06,50.9,35.6,4,0.037,ON,62.9,2012,Running,18.1
212,17-09-2023 02:07,44.1,38.5,2.9,0.026,ON,64.1,1769,Running,19
213,17-09-2023 02:08,47.4,34.8,3.6,0.035,ON,66.6,1693,Running,15.7
214,17-09-2023 02:08,44,38.6,3,0.027,ON,64,1772,Running,19.1
215,17-09-2023 02:09,43.9,38.7,3.1,0.028,ON,63.9,1775,Running,19.2
216,17-09-2023 02:10,43.8,38.8,3,0.027,ON,63.8,1778,Running,19.3
217,17-09-2023 02:11,43.7,38.9,2.9,0.026,ON,63.7,1781,Running,19.4
218,17-09-2023 02:12,43.6,39,2.8,0.025,ON,63.6,1784,Running,19.5
219,17-09-2023 02:13,43.5,39.1,2.7,0.024,ON,63.5,1787,Running,19.6
220,17-09-2023 02:13,51.2,35.7,3.9,0.036,ON,62.8,2015,Running,18.2
221,17-09-2023 02:14,43.4,39.2,2.6,0.023,ON,63.4,1790,Running,19.7
222,17-09-2023 02:15,43.3,39.3,2.5,0.022,ON,63.3,1793,Running,19.8
223,17-09-2023 02:16,43.2,39.4,2.4,0.021,ON,63.2,1796,Running,19.9
224,17-09-2023 02:17,43.1,39.5,2.3,0.02,ON,63.1,1799,Running,20
225,17-09-2023 02:18,47.2,34.6,3.4,0.034,ON,66.7,1690,Running,15.6
226,17-09-2023 02:22,51,35.8,3.8,0.035,ON,62.7,2018,Running,18.3
227,17-09-2023 02:28,47.5,34.9,3.7,0.036,ON,66.4,1696,Running,15.8
228,17-09-2023 02:28,51.3,35.9,3.7,0.034,ON,62.6,2021,Running,18.4
229,17-09-2023 02:35,51.1,36,3.6,0.033,ON,62.5,2024,Running,18.5
230,17-09-2023 02:38,47.3,34.7,3.5,0.035,ON,66.5,1693,Running,15.7
231,17-09-2023 02:44,51.4,36.1,3.5,0.032,ON,62.4,2027,Running,18.6
232,17-09-2023 02:48,47.6,35,3.8,0.037,ON,66.2,1699,Running,15.9
233,17-09-2023 02:51,51.2,36.2,3.4,0.031,ON,62.3,2030,Running,18.7
234,17-09-2023 02:58,47.4,34.8,3.6,0.036,ON,66.3,1696,Running,15.8
235,17-09-2023 03:00,51.5,36.3,3.3,0.03,ON,62.2,2033,Running,18.8
236,17-09-2023 03:07,51.3,36.4,3.2,0.029,ON,62.1,2036,Running,18.9
237,17-09-2023 03:08,47.7,35.1,3.9,0.038,ON,66,1702,Running,16
238,17-09-2023 03:16,51.6,36.5,3.1,0.028,ON,62,2039,Running,19
239,17-09-2023 03:18,47.5,34.9,3.7,0.037,ON,66.1,1699,Running,15.9
240,17-09-2023 03:23,51.4,36.6,3.2,0.029,ON,61.9,2042,Running,19.1
241,17-09-2023 03:28,47.8,35.2,4,0.039,ON,65.8,1705,Running,16.1
242,17-09-2023 03:32,51.7,36.7,3.3,0.03,ON,61.8,2045,Running,19.2
243,17-09-2023 03:38,47.6,35,3.8,0.038,ON,65.9,1702,Running,16
244,17-09-2023 03:39,51.5,36.8,3.4,0.031,ON,61.7,2048,Running,19.3
245,17-09-2023 03:48,47.9,35.3,4.1,0.04,ON,65.6,1708,Running,16.2
246,17-09-2023 03:48,51.8,36.9,3.5,0.032,ON,61.6,2051,Running,19.4
247,17-09-2023 03:54,51.6,37,3.6,0.033,ON,61.5,2054,Running,19.5
248,17-09-2023 03:58,47.7,35.1,3.9,0.039,ON,65.7,1705,Running,16.1
249,17-09-2023 04:01,51.9,37.1,3.7,0.034,ON,61.4,2057,Running,19.6
250,17-09-2023 04:08,48,35.4,4.2,0.041,ON,65.4,1711,Running,16.3
251,17-09-2023 04:10,51.7,37.2,3.8,0.035,ON,61.3,2060,Running,19.7
252,17-09-2023 04:16,52,37.3,3.9,0.036,ON,61.2,2063,Running,19.8
253,17-09-2023 04:18,47.8,35.2,4,0.04,ON,65.5,1708,Running,16.2
254,17-09-2023 04:23,51.8,37.4,4,0.037,ON,61.1,2066,Running,19.9
255,17-09-2023 04:28,48.1,35.5,4.3,0.042,ON,65.2,1714,Running,16.4
256,17-09-2023 04:32,52.1,37.5,4.1,0.038,ON,61,2069,Running,20
257,17-09-2023 04:38,47.9,35.3,4.1,0.041,ON,65.3,1711,Running,16.3
258,17-09-2023 04:39,51.9,37.6,4,0.037,ON,60.9,2072,Running,20.1
259,17-09-2023 04:48,48.2,35.6,4.4,0.043,ON,65,1717,Running,16.5
260,17-09-2023 04:48,52.2,37.7,3.9,0.036,ON,60.8,2075,Running,20.2
261,17-09-2023 04:55,52,37.8,3.8,0.035,ON,60.7,2078,Running,20.3
262,17-09-2023 04:58,48,35.4,4.2,0.042,ON,65.1,1714,Running,16.4
263,17-09-2023 05:04,52.3,37.9,3.7,0.034,ON,60.6,2081,Running,20.4
264,17-09-2023 05:08,48.3,35.7,4.5,0.044,ON,64.8,1720,Running,16.6
265,17-09-2023 05:11,52.1,38,3.6,0.033,ON,60.5,2084,Running,20.5
266,17-09-2023 05:18,48.1,35.5,4.3,0.043,ON,64.9,1717,Running,16.5
267,17-09-2023 05:20,52.4,38.1,3.5,0.032,ON,60.4,2087,Running,20.6
268,17-09-2023 05:27,52.2,38.2,3.4,0.031,ON,60.3,2090,Running,20.7
269,17-09-2023 05:28,48.4,35.8,4.6,0.045,ON,64.6,1723,Running,16.7
270,17-09-2023 05:36,52.5,38.3,3.3,0.03,ON,60.2,2093,Running,20.8
271,17-09-2023 05:38,48.2,35.6,4.4,0.044,ON,64.7,1720,Running,16.6
272,17-09-2023 05:43,52.3,38.4,3.2,0.029,ON,60.1,2096,Running,20.9
273,17-09-2023 05:48,48.5,35.9,4.7,0.046,ON,64.4,1726,Running,16.8
274,17-09-2023 05:52,52.6,38.5,3.1,0.028,ON,60,2099,Running,21
275,17-09-2023 05:58,48.3,35.7,4.5,0.045,ON,64.5,1723,Running,16.7
276,17-09-2023 05:59,52.4,38.6,3.2,0.029,ON,59.9,2102,Running,21.1
277,17-09-2023 06:08,48.6,36,4.8,0.047,ON,64.2,1729,Running,16.9
278,17-09-2023 06:08,52.7,38.7,3.3,0.03,ON,59.8,2105,Running,21.2
279,17-09-2023 06:15,52.5,38.8,3.4,0.031,ON,59.7,2108,Running,21.3
280,17-09-2023 06:18,48.4,35.8,4.6,0.046,ON,64.3,1726,Running,16.8
281,17-09-2023 06:24,52.8,38.9,3.5,0.032,ON,59.6,2111,Running,21.4
282,17-09-2023 06:28,48.7,36.1,4.9,0.048,ON,64,1732,Running,17
283,17-09-2023 06:31,52.6,39,3.6,0.033,ON,59.5,2114,Running,21.5
284,17-09-2023 06:38,48.5,35.9,4.7,0.047,ON,64.1,1729,Running,16.9
285,17-09-2023 06:40,52.9,39.1,3.7,0.034,ON,59.4,2117,Running,21.6
286,17-09-2023 06:47,52.7,39.2,3.8,0.035,ON,59.3,2120,Running,21.7
287,17-09-2023 06:48,48.8,36.2,5,0.049,ON,63.8,1735,Running,17.1
288,17-09-2023 06:56,53,39.3,3.9,0.036,ON,59.2,2123,Running,21.8
289,17-09-2023 06:58,48.6,36,4.8,0.048,ON,63.9,1732,Running,17
290,17-09-2023 07:03,52.8,39.4,4,0.037,ON,59.1,2126,Running,21.9
291,17-09-2023 07:08,48.9,36.3,5.1,0.05,ON,63.6,1738,Running,17.2
292,17-09-2023 07:17,53.1,39.5,4.1,0.038,ON,59,2129,Running,22
293,17-09-2023 07:18,48.7,36.1,4.9,0.049,ON,63.7,1735,Running,17.1
294,17-09-2023 07:24,52.9,39.6,4,0.037,ON,58.9,2132,Running,22.1
295,17-09-2023 07:28,49,36.4,5.2,0.051,ON,63.4,1741,Running,17.3
296,17-09-2023 07:33,53.2,39.7,3.9,0.036,ON,58.8,2135,Running,22.2
297,17-09-2023 07:38,48.8,36.2,5,0.05,ON,63.5,1738,Running,17.2
298,17-09-2023 07:40,53,39.8,3.8,0.035,ON,58.7,2138,Running,22.3
299,17-09-2023 07:48,49.1,36.5,5.3,0.052,ON,63.2,1744,Running,17.4
300,17-09-2023 07:49,53.3,39.9,3.7,0.034,ON,58.6,2141,Running,22.4
301,17-09-2023 07:56,53.1,40,3.6,0.033,ON,58.5,2144,Running,22.5
302,17-09-2023 07:58,48.9,36.3,5.1,0.051,ON,63.3,1741,Running,17.3
